QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 59709800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 47842400
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 65843700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 4039500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 135814200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 46508500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 60211300
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 710400
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 780300
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 317200
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 489600
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 18505500
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 18318200
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 18747500
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 18163300
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 23269600
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 30800
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 41702900
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 31900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 2668700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 61464200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 49049900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 60764900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 3457400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 59882800
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 46610700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 58160400
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 739100
std::sort Algorithm, Ascending Data, N = 2000, T[ns] = 408500
std::sort Algorithm, Descending Data, N = 2000, T[ns] = 560400
std::sort Algorithm, Constant Data, N = 2000, T[ns] = 438700
SelectionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 19392200
SelectionSort Algorithm, Ascending Data, N = 2000, T[ns] = 18314500
SelectionSort Algorithm, Descending Data, N = 2000, T[ns] = 19184200
SelectionSort Algorithm, Constant Data, N = 2000, T[ns] = 18091200
InsertionSort Algorithm, Random Uniform Data, N = 2000, T[ns] = 20770900
InsertionSort Algorithm, Ascending Data, N = 2000, T[ns] = 33000
InsertionSort Algorithm, Descending Data, N = 2000, T[ns] = 42743900
InsertionSort Algorithm, Constant Data, N = 2000, T[ns] = 31400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 2000, T[ns] = 4765200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 2000, T[ns] = 62713000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 2000, T[ns] = 48654200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 2000, T[ns] = 61891600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 2000, T[ns] = 2625700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 2000, T[ns] = 62133600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 2000, T[ns] = 50343800
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 2000, T[ns] = 72929000
std::sort Algorithm, Random Uniform Data, N = 2000, T[ns] = 896900
